,0
0,7.251243
1,6.935035
2,8.094884
3,10.513697
4,9.300138
5,7.805205
6,5.43101
7,6.3917365
8,8.506802
9,9.102078
10,5.287986
11,8.871071
12,6.9394298
13,6.9095936
14,8.2042675
15,5.7170925
16,4.6296015
17,8.22925
18,5.593398
19,6.3048105
20,9.010061
21,6.375117
22,10.770512
23,7.748211
24,4.481597
25,5.247511
26,7.5370393
27,7.3306394
28,9.095761
29,7.4779825
30,8.530784
31,9.742262
32,6.899754
33,7.039788
34,8.105156
35,4.68688
36,7.345624
37,7.936002
38,7.7219453
39,8.520201
40,6.4866843
41,5.9250145
42,5.4089637
43,9.245774
44,7.555649
45,4.5190735
46,6.0139575
47,4.3395457
48,8.762653
49,8.146281
50,7.278394
51,6.4121194
52,5.9131565
53,7.5043454
54,6.0740757
55,8.420982
56,6.209538
57,6.911909
58,6.5487814
59,6.4944606
60,8.376071
61,8.370465
62,8.381726
63,7.370153
64,8.397226
65,8.473502
66,7.53349
67,5.8065977
68,5.0054183
69,6.7661743
70,6.671186
71,7.1590233
72,10.194312
73,8.538856
74,8.995603
75,4.5976243
76,7.729678
77,9.501876
78,6.5364695
79,6.897543
80,6.0310526
81,7.6636233
82,8.979579
83,6.1857047
84,9.816657
85,7.4157925
86,7.69196
87,7.545156
88,12.323449
89,6.2320256
90,7.0382867
91,7.2517715
92,9.011945
93,9.1982355
94,9.003442
95,6.271677
96,5.9888334
97,9.577339
98,9.277045
99,5.3912334
100,6.7467885
101,8.904073
102,7.0419083
103,9.589196
104,5.9870443
105,5.9651213
106,8.144705
107,6.050366
108,8.118442
109,8.239448
110,5.0073543
111,11.5144
112,7.2218943
113,6.5556383
114,9.505446
115,6.5813093
116,5.2324743
117,5.628775
118,8.605339
119,6.01759
120,6.8650055
121,5.038919
122,7.5161376
123,8.588759
124,9.911125
125,9.034375
126,5.5667014
127,6.004779
128,8.530337
129,6.0708933
130,10.739289
131,8.48009
132,8.504701
133,6.753005
134,7.013179
135,5.2811933
136,9.423733
137,7.2512436
138,10.731308
139,6.6627917
140,7.0375814
141,7.318826
142,5.333157
143,6.664004
144,5.5277843
145,6.437214
146,5.6759977
147,7.053894
148,11.107312
149,3.9599812
150,6.088543
